question	answer_summary	sources	confidence	gaps_identified	status
What credential delegation patterns exist today for AI agents?	Five main patterns: (1) OAuth OBO with nested identity claims, (2) RFC 8693 token exchange (impersonation vs delegation), (3) Gateway-based credential management, (4) SPIFFE/SPIRE for workload identity, (5) Dynamic short-lived secrets via Vault. Industry converging on OAuth 2.1 for cross-org, SPIFFE+mTLS for internal, OBO for user delegation.	https://www.scalekit.com/blog/delegated-agent-access|https://blog.christianposta.com/api-keys-are-a-bad-idea-for-enterprise-llm-agent-and-mcp-access/|https://dev.to/kanywst/rfc-8693-deep-dive-token-exchange-310i|https://www.hashicorp.com/en/blog/spiffe-securing-the-identity-of-agentic-ai-and-non-human-actors|https://riptides.io/blog-post/spiffe-meets-oauth2-current-landscape-for-secure-workload-identity-in-the-agentic-ai-era	HIGH	Which patterns are actually deployed in production agent systems?|How do MCP and agent frameworks implement these?|What is Auth0 Token Vault's specific architecture?	answered
What does the MCP ecosystem say about agent authentication?	MCP uses OAuth 2.1 with mandatory PKCE for remote servers. Local (stdio) servers use env vars. Key components: Protected Resource Metadata (PRM) for discovery, Dynamic Client Registration (DCR) for automatic client onboarding. Critical gap: MCP defines client-to-server auth but NOT downstream propagation to services. Enterprise extensions (SEP-1046, SEP-990) add machine-to-machine and IdP policy controls.	https://modelcontextprotocol.io/specification/2025-11-25|https://modelcontextprotocol.io/docs/tutorials/security/authorization|https://stackoverflow.blog/2026/01/21/is-that-allowed-authentication-and-authorization-in-model-context-protocol/|https://stytch.com/blog/mcp-oauth-dynamic-client-registration/|https://aembit.io/blog/mcp-oauth-2-1-pkce-and-the-future-of-ai-authorization/	HIGH	How do production MCP deployments handle downstream token propagation?|What DCR security issues exist?|Who implements MCP auth in production?	answered
Who are the players building agent credential systems?	Three tiers: (1) Enterprise IdPs: Microsoft Entra Agent ID (tokenless auth, Zero Trust), Okta for AI Agents (XAA protocol, discovery/governance), Auth0 for GenAI (Token Vault). (2) Startups: Descope (Agentic Identity Hub, 50+ integrations), Scalekit (OBO delegation), Aembit (secretless access). (3) OSS: Nango (700+ APIs), Arcade.dev (self-hostable), agent-vault (secret hiding). Market is fragmented but converging on OAuth 2.1 + MCP.	https://learn.microsoft.com/en-us/entra/agent-id/identity-platform/what-is-agent-id|https://www.okta.com/solutions/secure-ai/|https://auth0.com/ai|https://www.descope.com/press-release/agentic-identity-hub|https://nango.dev/blog/best-ai-agent-authentication|https://aembit.io/	HIGH	What's the pricing/business model for these?|Which have production deployments at scale?|How do they differentiate?	answered
What does OAuth 2.0 Token Exchange (RFC 8693) actually allow?	RFC 8693 enables exchanging one token for another with scope narrowing. Two modes: Impersonation (subject_token only, new token represents user) and Delegation (subject_token + actor_token, composite token with act claim preserving both identities). Key params: subject_token, actor_token, scope, resource, audience. The act claim creates audit trail and persists through refreshes. Used by AI agents for downstream API calls, scope narrowing, and token vault patterns.	https://datatracker.ietf.org/doc/html/rfc8693|https://www.authlete.com/developers/token_exchange/|https://zitadel.com/docs/guides/integrate/token-exchange|https://auth0.com/blog/auth0-token-vault-secure-token-exchange-for-ai-agents/	HIGH	Which auth servers fully implement RFC 8693?|How do nested act claims work for multi-hop delegation?|Is RFC 8693 sufficient or do we need the IETF OBO extension?	answered
What are the security failure modes in agent credential delegation?	Five main attack vectors: (1) Prompt injection leading to credential exfiltration (OWASP #1 2025, 73% of deployments vulnerable), (2) Token compromise via long-lived credentials (Drift breach hit 700+ orgs), (3) Confused deputy attacks from missing aud/iss validation, (4) Tool poisoning via malicious metadata, (5) MCP-specific attacks (naming, shadowing, rug pulls). Unsolved problem: no standard way to prevent prompt injection from triggering credential abuse.	https://www.obsidiansecurity.com/blog/prompt-injection|https://www.obsidiansecurity.com/blog/security-for-ai-agents|https://www.reco.ai/blog/ai-and-cloud-security-breaches-2025|https://www.solo.io/blog/deep-dive-mcp-and-a2a-attack-vectors-for-ai-agents|https://www.practical-devsecops.com/mcp-security-vulnerabilities/	HIGH	What prompt injection mitigations actually work in production?|How do enterprises detect credential abuse by agents?|What's the state of agent-specific threat detection?	answered
What do enterprise customers actually need from agent credential systems?	Five must-haves: (1) SSO/IdP integration (Okta, Azure AD, SAML), (2) Task-scoped credentials with 5-15min TTL and JIT provisioning, (3) Immutable audit trails with cryptographic fingerprints (SOC2/HIPAA ready), (4) Kill switch and instant revocation, (5) Non-custodial architecture (keys never leave customer infra). Core challenge: identity propagation — how does agent know user context? Token refresh for long-running tasks. Trust chain: hard security (JWT validation) + soft security (RBAC) + contextual filtering.	https://www.policylayer.com/blog/soc2-compliance-ai-agents|https://theagentarchitect.substack.com/p/enterprise-ai-agents-identity-access-management|https://www.swfte.com/blog/ai-agent-platforms-enterprise-buyers-guide-2025|https://aembit.io/blog/ai-agent-architectures-identity-security/	HIGH	What do real enterprise RFPs ask for specifically?|How do enterprises handle multi-agent delegation chains?|What's the gap between what's needed and what exists?	answered
What does the AI agent framework landscape look like re: credentials?	Most OSS frameworks (LangGraph, LlamaIndex, CrewAI, AutoGen) assume env vars — no native OAuth. LangGraph has custom auth handlers with AES-256-GCM encrypted secrets. AWS Bedrock AgentCore Identity is enterprise-ready with full OAuth 2.0, delegation-based auth, token vault, audit trails. Third-party solutions (Arcade, Nango, Auth0) fill the gap for credential brokering. Best practices: eliminate static secrets, use asymmetric creds (JWT/X509), JIT credentials, LLM isolation from tokens.	https://www.arcade.dev/blog/agent-authorization-langgraph-guide|https://blog.langchain.com/custom-authentication-and-access-control-in-langgraph/|https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/identity.html|https://workos.com/blog/securing-ai-agents|https://auth0.com/blog/genai-tool-calling-intro/	HIGH	How mature is each framework's auth story specifically?|What's the migration path from env vars to proper auth?|Which frameworks will add native OAuth?	answered
What standards bodies are working on agent auth?	Four initiatives: (1) NIST AI Agent Standards Initiative — concept paper on identity & authorization, comments open until April 2026. (2) IETF draft-klrc-aiagent-auth-00 — builds on WIMSE, SPIFFE, OAuth 2.0, authored by Ping/AWS/Zscaler. (3) IETF draft-oauth-ai-agents-obo — adds requested_actor and actor_token params for consent. (4) OIDC-A 1.0 proposal — new agent-specific claims (agent_type, delegation_chain), attestation endpoint, delegation chain handling. No ratified standard yet; MCP + OAuth 2.1 is de facto baseline.	https://www.nist.gov/caisi/ai-agent-standards-initiative|https://datatracker.ietf.org/doc/draft-klrc-aiagent-auth/|https://arxiv.org/abs/2509.25974|https://subramanya.ai/2025/04/28/oidc-a-proposal/|https://openid.net/wp-content/uploads/2025/10/Identity-Management-for-Agentic-AI.pdf	HIGH	Will these standards converge?|What's the timeline for any ratified standard?|How will standards interact with MCP?	answered
What prompt injection mitigations work in production?	Defense-in-depth required — no single technique fully solves it. Microsoft uses three layers: Prevention (spotlighting, hardened prompts), Detection (Prompt Shields classifier), Impact Mitigation (deterministic blocking, human-in-loop, least privilege). Proven: SmoothLLM (<1% success), Jatmo finetuning (<0.5%), Dual LLM isolation, Task Shield (2.07% on GPT-4o). Credential-specific: never embed secrets in prompts, retrieve dynamically, token isolation, block exfiltration vectors. OWASP: "fundamental architectural innovations required" — problem cannot be patched away.	https://www.microsoft.com/en-us/msrc/blog/2025/07/how-microsoft-defends-against-indirect-prompt-injection-attacks|https://github.com/tldrsec/prompt-injection-defenses|https://cheatsheetseries.owasp.org/cheatsheets/LLM_Prompt_Injection_Prevention_Cheat_Sheet.html|https://www.obsidiansecurity.com/blog/prompt-injection	HIGH	Which specific mitigations are used by agent credential vendors?|How do behavioral analytics detect credential abuse?|What's the trade-off between security and UX?	answered
Which auth servers fully implement RFC 8693?	Keycloak 26.2 (May 2025) is first major OSS to be fully RFC 8693 compliant. Auth0 has Custom Token Exchange supporting RFC 8693 semantics. Okta has OBO token exchange docs but unclear if full RFC 8693 grant type. Microsoft Entra ID does NOT support RFC 8693 grant type (urn:ietf:params:oauth:grant-type:token-exchange) — uses proprietary OBO flow instead; requires third-party IdP like OpenIddict for true RFC 8693. Delegation mode (with act claim) support is rarer than impersonation mode across all providers.	https://www.keycloak.org/2025/05/standard-token-exchange-kc-26-2|https://auth0.com/docs/authenticate/custom-token-exchange|https://developer.okta.com/docs/guides/set-up-token-exchange/main/|https://learn.microsoft.com/en-us/entra/identity-platform/v2-oauth2-on-behalf-of-flow|https://damienbod.com/2023/01/09/implement-the-oauth-2-0-token-exchange-delegated-flow-between-an-azure-ad-api-and-an-api-protected-using-openiddict/	MEDIUM	Which auth servers support nested act claims for multi-hop?|What's the interoperability story across providers?|How do agent platforms handle provider-specific quirks?	answered
